iteration,question_id,num_detected_t0.10,num_same_answer_t0.10,same_answer_perc_t0.10,num_detected_t0.20,num_same_answer_t0.20,same_answer_perc_t0.20,num_detected_t0.30,num_same_answer_t0.30,same_answer_perc_t0.30,num_detected_t0.40,num_same_answer_t0.40,same_answer_perc_t0.40,num_detected_t0.50,num_same_answer_t0.50,same_answer_perc_t0.50,num_detected_t0.60,num_same_answer_t0.60,same_answer_perc_t0.60,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90
172,index_171,80,80,100.00,80,80,100.00,80,80,100.00,80,80,100.00,80,80,100.00,80,80,100.00,79,79,100.00,78,78,100.00,60,60,100.00
173,index_172,97,97,100.00,97,97,100.00,97,97,100.00,97,97,100.00,97,97,100.00,97,97,100.00,97,97,100.00,96,96,100.00,66,66,100.00
174,index_173,109,35,32.11,109,35,32.11,109,35,32.11,109,35,32.11,109,35,32.11,109,35,32.11,109,35,32.11,107,34,31.78,57,18,31.58
175,index_174,55,55,100.00,55,55,100.00,55,55,100.00,55,55,100.00,55,55,100.00,55,55,100.00,54,54,100.00,49,49,100.00,19,19,100.00
176,index_175,98,98,100.00,98,98,100.00,98,98,100.00,98,98,100.00,98,98,100.00,98,98,100.00,98,98,100.00,90,90,100.00,58,58,100.00
177,index_176,80,72,90.00,80,72,90.00,80,72,90.00,79,71,89.87,79,71,89.87,79,71,89.87,78,70,89.74,71,63,88.73,35,31,88.57
178,index_177,55,55,100.00,55,55,100.00,55,55,100.00,55,55,100.00,55,55,100.00,55,55,100.00,55,55,100.00,50,50,100.00,31,31,100.00
179,index_178,85,73,85.88,85,73,85.88,85,73,85.88,85,73,85.88,85,73,85.88,85,73,85.88,85,73,85.88,82,71,86.59,62,53,85.48
180,index_179,120,51,42.50,120,51,42.50,120,51,42.50,120,51,42.50,120,51,42.50,120,51,42.50,120,51,42.50,120,51,42.50,113,47,41.59
181,index_180,117,35,29.91,117,35,29.91,117,35,29.91,117,35,29.91,117,35,29.91,117,35,29.91,117,35,29.91,114,34,29.82,100,26,26.00
182,index_181,12,12,100.00,12,12,100.00,12,12,100.00,12,12,100.00,12,12,100.00,12,12,100.00,11,11,100.00,10,10,100.00,9,9,100.00
183,index_182,116,44,37.93,116,44,37.93,116,44,37.93,116,44,37.93,116,44,37.93,116,44,37.93,115,44,38.26,112,41,36.61,72,27,37.50
184,index_183,117,46,39.32,117,46,39.32,117,46,39.32,117,46,39.32,117,46,39.32,117,46,39.32,117,46,39.32,116,45,38.79,94,38,40.43
185,index_184,27,27,100.00,27,27,100.00,27,27,100.00,27,27,100.00,27,27,100.00,26,26,100.00,25,25,100.00,21,21,100.00,10,10,100.00
186,index_185,111,111,100.00,111,111,100.00,111,111,100.00,111,111,100.00,111,111,100.00,111,111,100.00,110,110,100.00,102,102,100.00,51,51,100.00
187,index_186,88,47,53.41,88,47,53.41,88,47,53.41,88,47,53.41,88,47,53.41,88,47,53.41,88,47,53.41,79,42,53.16,18,10,55.56
188,index_187,117,28,23.93,117,28,23.93,117,28,23.93,117,28,23.93,117,28,23.93,117,28,23.93,117,28,23.93,117,28,23.93,112,26,23.21
189,index_188,14,14,100.00,14,14,100.00,14,14,100.00,14,14,100.00,13,13,100.00,13,13,100.00,13,13,100.00,10,10,100.00,3,3,100.00
190,index_189,98,73,74.49,98,73,74.49,98,73,74.49,98,73,74.49,98,73,74.49,98,73,74.49,97,72,74.23,86,66,76.74,46,40,86.96
191,index_190,120,91,75.83,120,91,75.83,120,91,75.83,120,91,75.83,120,91,75.83,120,91,75.83,120,91,75.83,120,91,75.83,82,63,76.83
192,index_191,97,83,85.57,97,83,85.57,97,83,85.57,97,83,85.57,97,83,85.57,97,83,85.57,97,83,85.57,97,83,85.57,80,67,83.75
193,index_192,43,43,100.00,43,43,100.00,43,43,100.00,43,43,100.00,43,43,100.00,43,43,100.00,43,43,100.00,39,39,100.00,20,20,100.00
194,index_193,38,38,100.00,38,38,100.00,38,38,100.00,38,38,100.00,38,38,100.00,38,38,100.00,38,38,100.00,35,35,100.00,17,17,100.00
195,index_194,78,78,100.00,78,78,100.00,78,78,100.00,78,78,100.00,78,78,100.00,78,78,100.00,77,77,100.00,72,72,100.00,55,55,100.00
196,index_195,75,75,100.00,75,75,100.00,75,75,100.00,75,75,100.00,75,75,100.00,74,74,100.00,73,73,100.00,65,65,100.00,19,19,100.00
197,index_196,120,61,50.83,120,61,50.83,120,61,50.83,120,61,50.83,120,61,50.83,120,61,50.83,120,61,50.83,120,61,50.83,109,57,52.29
198,index_197,101,101,100.00,101,101,100.00,101,101,100.00,101,101,100.00,101,101,100.00,101,101,100.00,101,101,100.00,98,98,100.00,46,46,100.00
